iter	Passed	Remaining
0	17	1714
1	34	1701
2	52	1697
3	68	1654
4	85	1630
5	103	1613
6	119	1592
7	136	1574
8	155	1567
9	171	1546
10	188	1528
11	208	1528
12	226	1513
13	242	1487
14	260	1474
15	277	1454
16	292	1429
17	309	1411
18	325	1388
19	341	1366
20	358	1349
21	375	1331
22	392	1315
23	411	1301
24	429	1289
25	444	1266
26	461	1247
27	478	1229
28	495	1212
29	511	1192
30	527	1174
31	543	1154
32	559	1135
33	575	1117
34	593	1102
35	609	1083
36	627	1068
37	643	1049
38	659	1032
39	677	1015
40	692	997
41	710	981
42	726	963
43	742	944
44	759	928
45	775	910
46	791	892
47	806	873
48	822	856
49	844	844
50	860	826
51	876	809
52	893	792
53	908	773
54	925	756
55	943	741
56	960	724
57	976	707
58	993	690
59	1009	672
60	1025	655
61	1042	638
62	1055	619
63	1070	602
64	1086	585
65	1103	568
66	1121	552
67	1137	535
68	1155	519
69	1172	502
70	1190	486
71	1206	469
72	1222	452
73	1238	435
74	1257	419
75	1274	402
76	1289	385
77	1304	367
78	1320	350
79	1335	333
80	1352	317
81	1368	300
82	1384	283
83	1400	266
84	1416	250
85	1432	233
86	1449	216
87	1468	200
88	1483	183
89	1499	166
90	1516	149
91	1533	133
92	1549	116
93	1564	99
94	1579	83
95	1595	66
96	1613	49
97	1630	33
98	1646	16
99	1662	0
